TOKEN;TF;IDF;TF*IDF
ada;0.000756;0.028855;2.2e-05
apecoin;0.000756;0.028855;2.2e-05
bep;0.000756;3.658211;0.002766
bnb;0.000756;0.028855;2.2e-05
bsc;0.000756;3.488286;0.002637
btc;0.000756;0.014355;1.1e-05
btcusdeurrubuahkzt;0.000756;1.704015;0.001288
busd;0.000756;0.028855;2.2e-05
binance;0.000756;0.014355;1.1e-05
bitcoin;0.000756;0.014355;1.1e-05
bitcoinпрогнозы;0.000756;0.028855;2.2e-05
bitget;0.000756;0.014355;1.1e-05
buybit;0.000756;0.028855;2.2e-05
bybit;0.000756;0.014355;1.1e-05
cex;0.000756;0.028855;2.2e-05
cardano;0.000756;0.028855;2.2e-05
cardanoadaada;0.000756;0.028855;2.2e-05
chain;0.000756;1.903324;0.001439
chainlink;0.000756;2.658211;0.00201
coin;0.000756;0.028855;2.2e-05
coinbnbbnb;0.000756;0.028855;2.2e-05
coinex;0.000756;0.028855;2.2e-05
coinusdcusdc;0.000756;0.028855;2.2e-05
crypto;0.001513;0.014355;2.2e-05
currency;0.000756;0.014355;1.1e-05
d;0.000756;4.336283;0.003278
dex;0.000756;0.028855;2.2e-05
doge;0.000756;0.028855;2.2e-05
dot;0.000756;0.028855;2.2e-05
defi;0.000756;0.014355;1.1e-05
defiанонимныес;0.000756;0.028855;2.2e-05
dogecoin;0.000756;0.028855;2.2e-05
eth;0.000756;0.014355;1.1e-05
eur;0.000756;0.014355;1.1e-05
earn;0.000756;1.528928;0.001156
earnпроекты;0.000756;0.028855;2.2e-05
earnтокены;0.000756;0.028855;2.2e-05
ethereum;0.000756;0.014355;1.1e-05
ethereumкурсыbitcoinbtcbtc;0.000756;0.028855;2.2e-05
ethereumперспективные;0.000756;0.028855;2.2e-05
ethereumпрогнозы;0.000756;0.028855;2.2e-05
gwei;0.000756;0.028855;2.2e-05
history;0.000756;3.658211;0.002766
hitbtc;0.000756;0.028855;2.2e-05
huobi;0.000756;0.028855;2.2e-05
ibc;0.000756;6.658211;0.005034
ico;0.000756;0.028855;2.2e-05
ido;0.000756;4.336283;0.003278
inushibshib;0.000756;0.028855;2.2e-05
io;0.000756;0.028855;2.2e-05
ip;0.000756;0.028855;2.2e-05
jpy;0.000756;0.028855;2.2e-05
ksm;0.000756;4.658211;0.003522
