TOKEN;TF;IDF;TF*IDF
ada;0.000878;0.028855;2.5e-05
apecoin;0.000878;0.028855;2.5e-05
bch;0.000878;2.751321;0.002416
bnb;0.000878;0.028855;2.5e-05
btc;0.000878;0.014355;1.3e-05
btcusdeurrubuahkzt;0.000878;1.704015;0.001496
busd;0.000878;0.028855;2.5e-05
binance;0.000878;0.014355;1.3e-05
bitcoin;0.000878;0.014355;1.3e-05
bitcoinпрогнозы;0.000878;0.028855;2.5e-05
bitget;0.000878;0.014355;1.3e-05
buybit;0.000878;0.028855;2.5e-05
bybit;0.000878;0.014355;1.3e-05
cex;0.000878;0.028855;2.5e-05
cardano;0.000878;0.028855;2.5e-05
cardanoadaada;0.000878;0.028855;2.5e-05
cash;0.000878;2.13465;0.001874
chainlink;0.000878;2.658211;0.002334
coin;0.000878;0.028855;2.5e-05
coinbnbbnb;0.000878;0.028855;2.5e-05
coinex;0.000878;0.028855;2.5e-05
coinusdcusdc;0.000878;0.028855;2.5e-05
crypto;0.001756;0.014355;2.5e-05
currency;0.000878;0.014355;1.3e-05
dash;0.001756;3.336283;0.005859
dex;0.000878;0.028855;2.5e-05
doge;0.000878;0.028855;2.5e-05
dot;0.000878;0.028855;2.5e-05
dpos;0.000878;6.658211;0.005846
defi;0.000878;0.014355;1.3e-05
defiанонимныес;0.000878;0.028855;2.5e-05
dogecoin;0.000878;0.028855;2.5e-05
eos;0.000878;3.336283;0.002929
erc;0.000878;2.13465;0.001874
eth;0.000878;0.014355;1.3e-05
eur;0.000878;0.014355;1.3e-05
earn;0.000878;1.528928;0.001342
earnпроекты;0.000878;0.028855;2.5e-05
earnтокены;0.000878;0.028855;2.5e-05
ethereum;0.000878;0.014355;1.3e-05
ethereumкурсыbitcoinbtcbtc;0.000878;0.028855;2.5e-05
ethereumперспективные;0.000878;0.028855;2.5e-05
ethereumпрогнозы;0.000878;0.028855;2.5e-05
gwei;0.000878;0.028855;2.5e-05
hitbtc;0.000878;0.028855;2.5e-05
huobi;0.000878;0.028855;2.5e-05
ico;0.000878;0.028855;2.5e-05
inushibshib;0.000878;0.028855;2.5e-05
io;0.000878;0.028855;2.5e-05
ip;0.000878;0.028855;2.5e-05
jpy;0.000878;0.028855;2.5e-05
kyc;0.000878;4.336283;0.003807
kzt;0.000878;0.028855;2.5e-05
kucoin;0.000878;0.028855;2.5e-05
link;0.000878;2.751321;0.002416
ltc;0.000878;0.028855;2.5e-05
ledger;0.000878;3.850857;0.003381
litecoin;0.000878;0.014355;1.3e-05
london;0.000878;4.073249;0.003576
lumen;0.000878;5.658211;0.004968
max;0.001756;0.103623;0.000182
mexc;0.000878;0.028855;2.5e-05
min;0.001756;0.103623;0.000182
move;0.000878;0.028855;2.5e-05
nft;0.000878;0.014355;1.3e-05
nominex;0.000878;0.028855;2.5e-05
okx;0.000878;0.028855;2.5e-05
ouroboros;0.000878;4.073249;0.003576
phemex;0.000878;0.014355;1.3e-05
play;0.000878;0.028855;2.5e-05
polkadot;0.000878;0.028855;2.5e-05
poloniex;0.000878;0.028855;2.5e-05
privatesend;0.000878;5.073249;0.004454
proof;0.000878;2.014355;0.001769
protocol;0.000878;0.028855;2.5e-05
rub;0.000878;0.014355;1.3e-05
ravencoin;0.000878;0.028855;2.5e-05
ripple;0.000878;0.372809;0.000327
ripplexrpxrp;0.000878;0.028855;2.5e-05
shib;0.000878;0.028855;2.5e-05
shiba;0.000878;0.028855;2.5e-05
sol;0.000878;0.028855;2.5e-05
swift;0.000878;3.658211;0.003212
solana;0.000878;0.014355;1.3e-05
solanasolsol;0.000878;0.028855;2.5e-05
stake;0.000878;2.488286;0.002185
stellar;0.000878;2.957772;0.002597
telegram;0.000878;0.028855;2.5e-05
tether;0.000878;0.014355;1.3e-05
tetherusdtusdt;0.000878;0.028855;2.5e-05
token;0.000878;0.028855;2.5e-05
twitter;0.000878;0.014355;1.3e-05
uah;0.000878;0.028855;2.5e-05
uni;0.000878;0.028855;2.5e-05
usd;0.000878;0.014355;1.3e-05
usdbusdbusd;0.000878;0.028855;2.5e-05
usdc;0.000878;0.014355;1.3e-05
usdeurrubuahkzt;0.000878;0.028855;2.5e-05
usdt;0.000878;0.014355;1.3e-05
uniswap;0.000878;0.028855;2.5e-05
vk;0.000878;0.058299;5.1e-05
vpn;0.000878;0.028855;2.5e-05
whatsapp;0.000878;0.043502;3.8e-05
xlm;0.000878;3.850857;0.003381
xrp;0.000878;0.028855;2.5e-05
youtube;0.000878;0.028855;2.5e-05
comвсе;0.000878;0.028855;2.5e-05
e;0.000878;0.448758;0.000394
info;0.000878;0.028855;2.5e-05
mail;0.000878;0.570749;0.000501
of;0.000878;0.182478;0.00016
ru;0.000878;0.014355;1.3e-05
to;0.000878;0.028855;2.5e-05
авиабилеты;0.000878;0.028855;2.5e-05
автосалоны;0.000878;0.028855;2.5e-05
агентства;0.000878;0.028855;2.5e-05
администрация;0.000878;0.028855;2.5e-05
академия;0.000878;0.028855;2.5e-05
аккаунты;0.000878;0.028855;2.5e-05
алгоритм;0.000878;2.13465;0.001874
американские;0.000878;0.028855;2.5e-05
анонимные;0.000878;1.658211;0.001456
аренда;0.001756;0.028855;5.1e-05
безопасность;0.000878;0.028855;2.5e-05
белорусские;0.000878;0.028855;2.5e-05
биржевые;0.001756;4.073249;0.007153
биржи;0.001756;0.014355;2.5e-05
биткоин;0.000878;0.014355;1.3e-05
биткоина;0.001756;0.028855;5.1e-05
блоги;0.000878;0.014355;1.3e-05
блокчейн;0.001756;0.014355;2.5e-05
блокчейном;0.000878;2.957772;0.002597
быстро;0.001756;0.014355;2.5e-05
вакансии;0.000878;0.014355;1.3e-05
валюты;0.000878;1.613817;0.001417
ввести;0.000878;4.336283;0.003807
видео;0.000878;0.028855;2.5e-05
внутренняя;0.000878;3.850857;0.003381
волатильные;0.000878;1.658211;0.001456
вопросы;0.001756;0.014355;2.5e-05
вся;0.000878;4.658211;0.00409
второй;0.000878;2.957772;0.002597
вход;0.000878;0.014355;1.3e-05
входит;0.000878;2.850857;0.002503
выбор;0.000878;2.410284;0.002116
выражается;0.000878;1.704015;0.001496
высокая;0.000878;1.80023;0.001581
газ;0.000878;0.028855;2.5e-05
главная;0.000878;0.014355;1.3e-05
данный;0.000878;0.028855;2.5e-05
движения;0.000878;4.336283;0.003807
детальная;0.000878;6.658211;0.005846
децентрализованные;0.000878;0.014355;1.3e-05
дзен;0.000878;0.028855;2.5e-05
евгений;0.000878;1.704015;0.001496
еще;0.000878;0.014355;1.3e-05
задать;0.000878;0.014355;1.3e-05
зайти;0.000878;4.073249;0.003576
закон;0.000878;0.028855;2.5e-05
заместитель;0.000878;1.704015;0.001496
затем;0.000878;2.957772;0.002597
здесь;0.000878;3.850857;0.003381
значение;0.001756;1.372809;0.002411
игры;0.001756;1.613817;0.002834
изменения;0.001756;0.058299;0.000102
изучение;0.000878;5.658211;0.004968
инвестирование;0.000878;0.028855;2.5e-05
институциональные;0.000878;0.028855;2.5e-05
интервью;0.000878;0.028855;2.5e-05
инфографика;0.000878;0.028855;2.5e-05
каждый;0.000878;1.957772;0.001719
казахстанские;0.000878;0.028855;2.5e-05
какие;0.001756;1.850857;0.00325
какой;0.001756;2.570749;0.004514
какую;0.000878;1.570749;0.001379
календарь;0.000878;0.028855;2.5e-05
калькулятор;0.000878;0.028855;2.5e-05
капитализация;0.001756;0.028855;5.1e-05
карта;0.000878;0.028855;2.5e-05
кастодиальные;0.000878;0.014355;1.3e-05
категории;0.001756;1.613817;0.002834
китайские;0.000878;0.028855;2.5e-05
клуб;0.000878;0.028855;2.5e-05
книга;0.000878;0.028855;2.5e-05
команда;0.000878;2.751321;0.002416
конкуренты;0.000878;1.613817;0.001417
корейские;0.000878;0.028855;2.5e-05
кошельки;0.001756;0.014355;2.5e-05
коэффициент;0.000878;5.073249;0.004454
криптобиржи;0.001756;0.028855;5.1e-05
криптовалюта;0.001756;0.014355;2.5e-05
криптовалюты;0.001756;0.014355;2.5e-05
криптопроекты;0.000878;0.028855;2.5e-05
криптосервисы;0.000878;0.028855;2.5e-05
купить;0.001756;0.014355;2.5e-05
купитьbinance;0.000878;0.13465;0.000118
купитьcoinbase;0.000878;1.265894;0.001111
купитьexmo;0.000878;1.410284;0.001238
купитьgateio;0.000878;0.985786;0.000866
купитьokx;0.000878;1.410284;0.001238
купитьpoloniex;0.000878;0.488286;0.000429
купитьсмотреть;0.000878;1.336283;0.001173
ликвидностьнужное;0.000878;6.658211;0.005846
лукин;0.000878;1.704015;0.001496
лучшие;0.001756;0.014355;2.5e-05
любому;0.000878;6.658211;0.005846
майнинг;0.000878;0.014355;1.3e-05
медленно;0.000878;0.028855;2.5e-05
мероприятия;0.000878;0.028855;2.5e-05
монета;0.000878;0.215268;0.000189
монеты;0.001756;0.014355;2.5e-05
мониторинг;0.000878;0.028855;2.5e-05
мы;0.000878;0.028855;2.5e-05
наименее;0.000878;1.658211;0.001456
начинающему;0.000878;6.658211;0.005846
некастодиальные;0.000878;0.014355;1.3e-05
некоторые;0.000878;2.19878;0.001931
необходимо;0.001756;2.19878;0.003861
новички;0.000878;4.073249;0.003576
новости;0.001756;0.014355;2.5e-05
новые;0.001756;0.014355;2.5e-05
обеспеченные;0.000878;1.704015;0.001496
обзор;0.000878;0.043502;3.8e-05
обменники;0.001756;0.014355;2.5e-05
обратная;0.000878;0.014355;1.3e-05
общая;0.000878;0.549687;0.000483
объем;0.001756;0.028855;5.1e-05
объемами;0.000878;4.658211;0.00409
объемы;0.000878;3.336283;0.002929
объём;0.000878;0.028855;2.5e-05
обязательная;0.000878;6.658211;0.005846
он;0.001756;1.300659;0.002284
она;0.000878;1.751321;0.001538
они;0.000878;1.528928;0.001342
онлайн;0.000878;0.014355;1.3e-05
определяется;0.000878;1.613817;0.001417
опрос;0.001756;1.850857;0.00325
основы;0.001756;6.658211;0.011692
отвечаем;0.000878;0.028855;2.5e-05
отели;0.000878;0.028855;2.5e-05
отзывы;0.000878;0.014355;1.3e-05
отсутствием;0.000878;5.073249;0.004454
оценка;0.000878;1.300659;0.001142
первая;0.000878;2.850857;0.002503
первое;0.000878;3.658211;0.003212
первый;0.001756;2.570749;0.004514
перспективные;0.001756;1.704015;0.002992
платежными;0.000878;3.850857;0.003381
поделиться;0.000878;0.043502;3.8e-05
подтверждение;0.001756;3.19878;0.005617
пожаловаться;0.000878;0.028855;2.5e-05
покупка;0.000878;0.014355;1.3e-05
политике;0.000878;0.028855;2.5e-05
полное;0.000878;0.028855;2.5e-05
пользователи;0.000878;1.528928;0.001342
популярность;0.000878;2.13465;0.001874
правилах;0.000878;0.028855;2.5e-05
привязанная;0.000878;1.704015;0.001496
проверить;0.001756;0.028855;5.1e-05
прогнозы;0.000878;0.014355;1.3e-05
прогнозыпрогноз;0.000878;0.028855;2.5e-05
программами;0.000878;6.658211;0.005846
проект;0.001756;1.410284;0.002476
проекты;0.001756;0.043502;7.6e-05
пройди;0.000878;3.658211;0.003212
пройти;0.001756;1.80023;0.003161
процесс;0.001756;2.265894;0.003979
раздача;0.000878;0.028855;2.5e-05
разделы;0.000878;0.028855;2.5e-05
размером;0.001756;4.658211;0.00818
раскол;0.000878;6.658211;0.005846
регистрация;0.001756;0.014355;2.5e-05
регулирование;0.000878;0.014355;1.3e-05
редакция;0.000878;0.028855;2.5e-05
результатом;0.000878;5.658211;0.004968
рейтинг;0.001756;0.028855;5.1e-05
рейтингивсе;0.000878;0.028855;2.5e-05
рекламодателям;0.000878;0.028855;2.5e-05
ресурс;0.000878;0.028855;2.5e-05
россии;0.000878;0.014355;1.3e-05
российские;0.000878;1.658211;0.001456
рыночная;0.001756;0.028855;5.1e-05
сайт;0.001756;0.014355;2.5e-05
самая;0.000878;1.528928;0.001342
самые;0.000878;0.014355;1.3e-05
сейчас;0.000878;0.448758;0.000394
сильно;0.001756;0.448758;0.000788
следует;0.001756;2.073249;0.003641
согласие;0.000878;0.028855;2.5e-05
создание;0.000878;2.265894;0.001989
создать;0.000878;2.19878;0.001931
сортировка;0.000878;1.704015;0.001496
