TOKEN;TF;IDF;TF*IDF
ada;0.000855;0.028855;2.5e-05
apecoin;0.000855;0.028855;2.5e-05
bcn;0.000855;4.658211;0.003983
bnb;0.000855;0.028855;2.5e-05
btc;0.000855;0.014355;1.2e-05
btcusdeurrubuahkzt;0.000855;1.704015;0.001457
busd;0.000855;0.028855;2.5e-05
binance;0.000855;0.014355;1.2e-05
bitcoin;0.000855;0.014355;1.2e-05
bitcoinпрогнозы;0.000855;0.028855;2.5e-05
bitget;0.000855;0.014355;1.2e-05
buybit;0.000855;0.028855;2.5e-05
bybit;0.000855;0.014355;1.2e-05
bytecoin;0.000855;4.658211;0.003983
cbdc;0.000855;3.336283;0.002853
cex;0.000855;0.028855;2.5e-05
cardano;0.000855;0.028855;2.5e-05
cardanoadaada;0.000855;0.028855;2.5e-05
coin;0.000855;0.028855;2.5e-05
coinbnbbnb;0.000855;0.028855;2.5e-05
coinex;0.000855;0.028855;2.5e-05
coinusdcusdc;0.000855;0.028855;2.5e-05
confidential;0.000855;6.658211;0.005693
crypto;0.001709;0.014355;2.5e-05
currency;0.000855;0.014355;1.2e-05
dash;0.001709;3.336283;0.005702
dapps;0.000855;2.336283;0.001998
dex;0.000855;0.028855;2.5e-05
doge;0.000855;0.028855;2.5e-05
dot;0.000855;0.028855;2.5e-05
defi;0.000855;0.014355;1.2e-05
defiанонимныес;0.000855;0.028855;2.5e-05
dogecoin;0.000855;0.028855;2.5e-05
erc;0.000855;2.13465;0.001825
eth;0.000855;0.014355;1.2e-05
eur;0.000855;0.014355;1.2e-05
earn;0.000855;1.528928;0.001307
earnпроекты;0.000855;0.028855;2.5e-05
earnтокены;0.000855;0.028855;2.5e-05
etherdelta;0.000855;6.658211;0.005693
ethereum;0.000855;0.014355;1.2e-05
ethereumкурсыbitcoinbtcbtc;0.000855;0.028855;2.5e-05
ethereumперспективные;0.000855;0.028855;2.5e-05
ethereumпрогнозы;0.000855;0.028855;2.5e-05
gwei;0.000855;0.028855;2.5e-05
hitbtc;0.000855;0.028855;2.5e-05
huobi;0.000855;0.028855;2.5e-05
ico;0.000855;0.028855;2.5e-05
inushibshib;0.000855;0.028855;2.5e-05
io;0.000855;0.028855;2.5e-05
ip;0.000855;0.028855;2.5e-05
instant;0.000855;5.073249;0.004338
jpy;0.000855;0.028855;2.5e-05
kzt;0.000855;0.028855;2.5e-05
kucoin;0.000855;0.028855;2.5e-05
ltc;0.000855;0.028855;2.5e-05
litecoin;0.000855;0.014355;1.2e-05
max;0.001709;0.103623;0.000177
mexc;0.000855;0.028855;2.5e-05
min;0.001709;0.103623;0.000177
makerdao;0.000855;4.336283;0.003708
mastercard;0.000855;0.549687;0.00047
monero;0.000855;1.613817;0.00138
move;0.000855;0.028855;2.5e-05
nft;0.000855;0.014355;1.2e-05
nominex;0.000855;0.028855;2.5e-05
okx;0.000855;0.028855;2.5e-05
phemex;0.000855;0.014355;1.2e-05
play;0.000855;0.028855;2.5e-05
polkadot;0.000855;0.028855;2.5e-05
poloniex;0.000855;0.028855;2.5e-05
private;0.000855;5.073249;0.004338
protocol;0.000855;0.028855;2.5e-05
rub;0.000855;0.014355;1.2e-05
ravencoin;0.000855;0.028855;2.5e-05
ring;0.000855;6.658211;0.005693
ripplexrpxrp;0.000855;0.028855;2.5e-05
shib;0.000855;0.028855;2.5e-05
shiba;0.000855;0.028855;2.5e-05
snark;0.000855;5.073249;0.004338
sol;0.000855;0.028855;2.5e-05
send;0.000855;5.658211;0.004838
solana;0.000855;0.014355;1.2e-05
solanasolsol;0.000855;0.028855;2.5e-05
telegram;0.000855;0.028855;2.5e-05
tether;0.000855;0.014355;1.2e-05
tetherusdtusdt;0.000855;0.028855;2.5e-05
token;0.000855;0.028855;2.5e-05
transactions;0.000855;6.658211;0.005693
twitter;0.000855;0.014355;1.2e-05
uah;0.000855;0.028855;2.5e-05
uni;0.000855;0.028855;2.5e-05
usd;0.000855;0.014355;1.2e-05
usdbusdbusd;0.000855;0.028855;2.5e-05
usdc;0.000855;0.014355;1.2e-05
usdeurrubuahkzt;0.000855;0.028855;2.5e-05
usdt;0.000855;0.014355;1.2e-05
uniswap;0.000855;0.028855;2.5e-05
vk;0.000855;0.058299;5e-05
vpn;0.000855;0.028855;2.5e-05
visa;0.000855;0.549687;0.00047
whatsapp;0.000855;0.043502;3.7e-05
xmr;0.000855;1.658211;0.001418
xrp;0.000855;0.028855;2.5e-05
youtube;0.000855;0.028855;2.5e-05
zcash;0.001709;3.850857;0.006581
zec;0.000855;4.336283;0.003708
zil;0.000855;5.073249;0.004338
zilliqa;0.000855;4.658211;0.003983
comвсе;0.000855;0.028855;2.5e-05
decentralized;0.000855;4.336283;0.003708
finance;0.000855;0.336283;0.000288
info;0.000855;0.028855;2.5e-05
ru;0.000855;0.014355;1.2e-05
to;0.000855;0.028855;2.5e-05
zk;0.000855;4.658211;0.003983
авиабилеты;0.000855;0.028855;2.5e-05
автоматизация;0.000855;6.658211;0.005693
автосалоны;0.000855;0.028855;2.5e-05
агентства;0.000855;0.028855;2.5e-05
администрация;0.000855;0.028855;2.5e-05
академия;0.000855;0.028855;2.5e-05
аккаунты;0.000855;0.028855;2.5e-05
американские;0.000855;0.028855;2.5e-05
аналитики;0.000855;1.570749;0.001343
анонимность;0.001709;4.336283;0.007411
анонимные;0.000855;1.658211;0.001418
аренда;0.001709;0.028855;4.9e-05
безопасность;0.001709;0.028855;4.9e-05
белорусские;0.000855;0.028855;2.5e-05
биржи;0.001709;0.014355;2.5e-05
биткоин;0.000855;0.014355;1.2e-05
биткоина;0.001709;0.028855;4.9e-05
блоги;0.000855;0.014355;1.2e-05
блок;0.001709;0.468387;0.0008
блокчейн;0.001709;0.014355;2.5e-05
большинство;0.001709;2.13465;0.003648
будущее;0.000855;0.429393;0.000367
быстро;0.000855;0.014355;1.2e-05
вакансии;0.000855;0.014355;1.2e-05
введение;0.001709;5.658211;0.00967
видео;0.000855;0.028855;2.5e-05
возможности;0.000855;2.19878;0.00188
волатильные;0.000855;1.658211;0.001418
вопросы;0.001709;0.014355;2.5e-05
второй;0.000855;2.957772;0.002529
вход;0.000855;0.014355;1.2e-05
выпущен;0.000855;3.336283;0.002853
выражается;0.000855;1.704015;0.001457
газ;0.000855;0.028855;2.5e-05
главная;0.000855;0.014355;1.2e-05
глобальная;0.000855;5.073249;0.004338
данные;0.001709;0.014355;2.5e-05
данный;0.000855;0.028855;2.5e-05
децентрализованностьпроблема;0.000855;6.658211;0.005693
децентрализованные;0.001709;0.014355;2.5e-05
дзен;0.000855;0.028855;2.5e-05
другим;0.000855;0.635844;0.000544
евгений;0.000855;1.704015;0.001457
его;0.001709;0.166358;0.000284
единого;0.001709;4.336283;0.007411
есть;0.001709;1.231947;0.002105
еще;0.001709;0.014355;2.5e-05
задать;0.000855;0.014355;1.2e-05
закон;0.000855;0.028855;2.5e-05
заместитель;0.000855;1.704015;0.001457
значение;0.001709;1.372809;0.002346
игры;0.001709;1.613817;0.002758
изменения;0.001709;0.058299;0.0001
инвестирование;0.000855;0.028855;2.5e-05
институциональные;0.000855;0.028855;2.5e-05
интервью;0.000855;0.028855;2.5e-05
инфографика;0.000855;0.028855;2.5e-05
информация;0.001709;0.336283;0.000575
казахстанские;0.000855;0.028855;2.5e-05
какие;0.001709;1.850857;0.003163
какую;0.000855;1.570749;0.001343
календарь;0.000855;0.028855;2.5e-05
калькулятор;0.000855;0.028855;2.5e-05
капитализация;0.001709;0.028855;4.9e-05
карта;0.000855;0.028855;2.5e-05
кастодиальные;0.000855;0.014355;1.2e-05
категории;0.000855;1.613817;0.00138
китайские;0.000855;0.028855;2.5e-05
клуб;0.000855;0.028855;2.5e-05
книга;0.000855;0.028855;2.5e-05
кольцевые;0.000855;5.658211;0.004838
конкуренты;0.000855;1.613817;0.00138
корейские;0.000855;0.028855;2.5e-05
кошельки;0.001709;0.014355;2.5e-05
криптобиржи;0.001709;0.028855;4.9e-05
криптовалюта;0.001709;0.014355;2.5e-05
криптовалюты;0.001709;0.014355;2.5e-05
криптопроекты;0.000855;0.028855;2.5e-05
криптосервисы;0.000855;0.028855;2.5e-05
купить;0.001709;0.014355;2.5e-05
купитьbinance;0.000855;0.13465;0.000115
купитьcoinbase;0.000855;1.265894;0.001082
купитьexmo;0.000855;1.410284;0.001206
купитьgateio;0.000855;0.985786;0.000843
купитьokx;0.000855;1.410284;0.001206
купитьpoloniex;0.000855;0.488286;0.000417
купитьсмотреть;0.000855;1.336283;0.001143
курс;0.001709;0.13465;0.00023
лукин;0.000855;1.704015;0.001457
лучшие;0.000855;0.014355;1.2e-05
любая;0.000855;3.850857;0.003292
майнинг;0.000855;0.014355;1.2e-05
медленно;0.000855;0.028855;2.5e-05
мероприятия;0.000855;0.028855;2.5e-05
механизм;0.000855;2.410284;0.002061
монета;0.001709;0.215268;0.000368
монеты;0.001709;0.014355;2.5e-05
мониторинг;0.000855;0.028855;2.5e-05
мы;0.000855;0.028855;2.5e-05
наименее;0.000855;1.658211;0.001418
насколько;0.000855;3.073249;0.002628
независимые;0.000855;4.658211;0.003983
некастодиальные;0.000855;0.014355;1.2e-05
некоторые;0.001709;2.19878;0.003758
нет;0.001709;1.658211;0.002834
низкие;0.000855;4.336283;0.003708
новости;0.001709;0.014355;2.5e-05
новые;0.001709;0.014355;2.5e-05
обеспеченные;0.000855;1.704015;0.001457
обеспечивает;0.001709;2.014355;0.003443
обзор;0.000855;0.043502;3.7e-05
обменники;0.001709;0.014355;2.5e-05
обратная;0.000855;0.014355;1.2e-05
обратный;0.000855;6.658211;0.005693
обфускация;0.000855;6.658211;0.005693
объем;0.001709;0.028855;4.9e-05
объём;0.000855;0.028855;2.5e-05
один;0.001709;2.073249;0.003543
одни;0.000855;4.073249;0.003483
онлайн;0.000855;0.014355;1.2e-05
операции;0.000855;2.13465;0.001825
определение;0.000855;4.658211;0.003983
определяется;0.001709;1.613817;0.002758
опрос;0.001709;1.850857;0.003163
основные;0.001709;2.957772;0.005055
особенно;0.000855;3.488286;0.002982
отвечаем;0.000855;0.028855;2.5e-05
отели;0.000855;0.028855;2.5e-05
отзывы;0.000855;0.014355;1.2e-05
отправитель;0.000855;4.658211;0.003983
отсутствие;0.001709;2.850857;0.004872
оценка;0.000855;1.300659;0.001112
первая;0.000855;2.850857;0.002437
первый;0.000855;2.570749;0.002198
персональная;0.000855;6.658211;0.005693
перспективные;0.000855;1.704015;0.001457
платежные;0.000855;3.850857;0.003292
плюсыминусы;0.000855;3.850857;0.003292
поделиться;0.000855;0.043502;3.7e-05
пожаловаться;0.000855;0.028855;2.5e-05
покупка;0.000855;0.014355;1.2e-05
политике;0.000855;0.028855;2.5e-05
полное;0.000855;0.028855;2.5e-05
популярность;0.001709;2.13465;0.003648
похожие;0.000855;6.658211;0.005693
пошаговый;0.000855;6.658211;0.005693
поэтому;0.000855;1.528928;0.001307
правилах;0.000855;0.028855;2.5e-05
привязанная;0.000855;1.704015;0.001457
принцип;0.000855;2.336283;0.001998
проверить;0.000855;0.028855;2.5e-05
прогнозы;0.000855;0.014355;1.2e-05
прогнозыпрогноз;0.000855;0.028855;2.5e-05
проект;0.001709;1.410284;0.00241
проекты;0.001709;0.043502;7.4e-05
пройти;0.000855;1.80023;0.001539
псевдодецентрализованныедецентрализованные;0.000855;6.658211;0.005693
раздача;0.000855;0.028855;2.5e-05
разделы;0.000855;0.028855;2.5e-05
разработчик;0.000855;0.448758;0.000384
распределенная;0.000855;6.658211;0.005693
регистрация;0.001709;0.014355;2.5e-05
регулирование;0.000855;0.014355;1.2e-05
редакция;0.000855;0.028855;2.5e-05
резюме;0.000855;2.410284;0.002061
рейтинг;0.000855;0.028855;2.5e-05
рейтингивсе;0.000855;0.028855;2.5e-05
рекламодателям;0.000855;0.028855;2.5e-05
ресурс;0.000855;0.028855;2.5e-05
реципиент;0.000855;6.658211;0.005693
решение;0.000855;2.850857;0.002437
россии;0.000855;0.014355;1.2e-05
российские;0.000855;1.658211;0.001418
рыночная;0.000855;0.028855;2.5e-05
сайт;0.001709;0.014355;2.5e-05
самая;0.000855;1.528928;0.001307
самые;0.000855;0.014355;1.2e-05
сегодня;0.000855;0.391425;0.000335
сервисы;0.001709;2.336283;0.003993
синтетические;0.000855;5.658211;0.004838
следом;0.000855;5.658211;0.004838
согласие;0.000855;0.028855;2.5e-05
сортировка;0.000855;1.704015;0.001457
список;0.001709;0.028855;4.9e-05
ставки;0.000855;0.014355;1.2e-05
стандарт;0.000855;0.028855;2.5e-05
статьи;0.001709;0.028855;4.9e-05
стейблкоины;0.000855;1.231947;0.001053
стоит;0.000855;0.265894;0.000227
топ;0.001709;0.014355;2.5e-05
такая;0.000855;3.336283;0.002853
телеграм;0.000855;0.028855;2.5e-05
теоретически;0.000855;4.336283;0.003708
технология;0.000855;2.13465;0.001825
токены;0.001709;0.028855;4.9e-05
торговля;0.001709;0.014355;2.5e-05
