TOKEN;TF;IDF;TF*IDF
ada;0.000486;0.028855;1.4e-05
apt;0.000486;0.488286;0.000237
abstract;0.000486;6.658211;0.003236
america;0.000486;0.592122;0.000288
andreessen;0.000486;6.658211;0.003236
android;0.000486;3.658211;0.001778
apecoin;0.000486;0.028855;1.4e-05
apple;0.000486;5.073249;0.002466
aptos;0.000486;0.488286;0.000237
aтехнологияblockchainдата;0.000486;5.658211;0.00275
bftсистема;0.000486;6.658211;0.003236
bnb;0.000486;0.028855;1.4e-05
btc;0.000486;0.014355;7e-06
busd;0.000486;0.028855;1.4e-05
bank;0.000486;0.549687;0.000267
binance;0.000486;0.014355;7e-06
bitcoin;0.000486;0.014355;7e-06
bitcoinпрогнозы;0.000486;0.028855;1.4e-05
bitfinex;0.000486;3.850857;0.001872
bitget;0.000486;0.014355;7e-06
blur;0.000486;0.592122;0.000288
buybit;0.000486;0.028855;1.4e-05
bybit;0.000486;0.014355;7e-06
cex;0.000486;0.028855;1.4e-05
cmcc;0.000486;6.658211;0.003236
capital;0.000486;3.488286;0.001695
cardano;0.000486;0.028855;1.4e-05
cardanoadaada;0.000486;0.028855;1.4e-05
change;0.000486;0.613817;0.000298
cloudbreakбаза;0.000486;6.658211;0.003236
coin;0.000486;0.028855;1.4e-05
coinbnbbnb;0.000486;0.028855;1.4e-05
coinex;0.000486;0.028855;1.4e-05
coinmarketcap;0.000486;3.073249;0.001494
coinstart;0.000973;0.613817;0.000597
coinusdcusdc;0.000486;0.028855;1.4e-05
coinbase;0.000486;2.957772;0.001437
crypto;0.000973;0.014355;1.4e-05
currency;0.000486;0.014355;7e-06
cwallet;0.000486;4.073249;0.00198
dex;0.000486;0.028855;1.4e-05
doge;0.000486;0.028855;1.4e-05
dot;0.000486;0.028855;1.4e-05
defi;0.000486;0.014355;7e-06
defiанонимныес;0.000486;0.028855;1.4e-05
diluted;0.000486;0.658211;0.00032
dogecoin;0.000486;0.028855;1.4e-05
dropbox;0.000486;4.658211;0.002264
e;0.000486;0.448758;0.000218
eth;0.000486;0.014355;7e-06
eur;0.000486;0.014355;7e-06
earnпроекты;0.000486;0.028855;1.4e-05
